time	V(1)	V(2)	I(L1)
5.259854879091078e-002	-2.209902e-002	-3.059517e+000	1.884708e-003
5.260640587835594e-002	-2.494597e-002	-3.107418e+000	1.906587e-003
5.261539336054857e-002	-2.870392e-002	-3.155909e+000	1.935161e-003
5.262516749307686e-002	-3.179541e-002	-3.202133e+000	1.970120e-003
5.263625691643611e-002	-3.246842e-002	-3.245419e+000	2.012098e-003
5.264842749307333e-002	-2.840915e-002	-3.278196e+000	2.055011e-003
5.266370586178523e-002	-1.705995e-002	-3.297266e+000	2.097427e-003
5.267333229191135e-002	-6.746037e-003	-3.294629e+000	2.112873e-003
5.268153649984207e-002	3.658585e-003	-3.280606e+000	2.114444e-003
5.269079715400941e-002	1.565032e-002	-3.254771e+000	2.103736e-003
5.269950682329386e-002	2.577319e-002	-3.223353e+000	2.081957e-003
5.271094293158870e-002	3.563491e-002	-3.177046e+000	2.039668e-003
5.272243541101996e-002	3.979849e-002	-3.132924e+000	1.988613e-003
5.273655551942854e-002	3.539602e-002	-3.093941e+000	1.926681e-003
5.275275587580035e-002	2.001127e-002	-3.076061e+000	1.870300e-003
5.276168644013191e-002	7.146767e-003	-3.083424e+000	1.853273e-003
5.276965613564963e-002	-6.515220e-003	-3.104385e+000	1.852906e-003
5.277835600550187e-002	-2.167254e-002	-3.138979e+000	1.867770e-003
5.278730461177488e-002	-3.567652e-002	-3.183854e+000	1.898896e-003
5.279847174497983e-002	-4.859741e-002	-3.245910e+000	1.955448e-003
5.281019099870193e-002	-5.422918e-002	-3.307416e+000	2.026549e-003
5.282404228386698e-002	-4.820898e-002	-3.359274e+000	2.109082e-003
5.284047884630647e-002	-2.680147e-002	-3.383468e+000	2.186570e-003
5.284931754286929e-002	-9.435740e-003	-3.373295e+000	2.209234e-003
5.285725969127279e-002	9.118288e-003	-3.344636e+000	2.209444e-003
5.286592904027090e-002	2.966151e-002	-3.297612e+000	2.189037e-003
5.287490318835976e-002	4.872926e-002	-3.236366e+000	2.146359e-003
5.288605774181372e-002	6.619315e-002	-3.152123e+000	2.069338e-003
5.289780610349922e-002	7.373694e-002	-3.068407e+000	1.972329e-003
5.291167160502158e-002	6.534227e-002	-2.998190e+000	1.860250e-003
5.292825242712143e-002	3.556139e-002	-2.966697e+000	1.755658e-003
5.293782557446412e-002	9.753298e-003	-2.983433e+000	1.724264e-003
5.294587245744793e-002	-1.586138e-002	-3.024904e+000	1.726536e-003
5.295455959148238e-002	-4.363533e-002	-3.091397e+000	1.757945e-003
5.296383945299368e-002	-6.975653e-002	-3.179339e+000	1.821688e-003
5.297507530088911e-002	-9.214135e-002	-3.295047e+000	1.930688e-003
5.298708107131829e-002	-1.002759e-001	-3.408724e+000	2.066894e-003
5.300105703705133e-002	-8.532074e-002	-3.496258e+000	2.216337e-003
5.301868775533625e-002	-3.796171e-002	-3.524863e+000	2.354263e-003
5.302830059087622e-002	-1.094096e-003	-3.491126e+000	2.386026e-003
5.303620080461233e-002	3.356567e-002	-3.427081e+000	2.372219e-003
5.304452272524861e-002	6.896470e-002	-3.333337e+000	2.319852e-003
5.305457098690667e-002	1.049130e-001	-3.199030e+000	2.213926e-003
5.306579761054570e-002	1.303580e-001	-3.042831e+000	2.056623e-003
5.307855131873333e-002	1.343255e-001	-2.888866e+000	1.857674e-003
5.309276801772873e-002	1.063927e-001	-2.782105e+000	1.655892e-003
5.310624141220752e-002	5.273204e-002	-2.764475e+000	1.520358e-003
5.311529189235610e-002	4.226078e-003	-2.811597e+000	1.482505e-003
5.312317756384843e-002	-4.279535e-002	-2.897125e+000	1.499260e-003
5.313138385789272e-002	-9.047046e-002	-3.021285e+000	1.566514e-003
5.314141923009435e-002	-1.400799e-001	-3.202883e+000	1.707004e-003
5.315254428911055e-002	-1.758640e-001	-3.414011e+000	1.916392e-003
5.316524992334117e-002	-1.835831e-001	-3.625811e+000	2.185854e-003
5.317923722806200e-002	-1.484014e-001	-3.772693e+000	2.458059e-003
5.319350047670356e-002	-7.253056e-002	-3.802037e+000	2.657084e-003
5.320257959994441e-002	-6.714444e-003	-3.739689e+000	2.711020e-003
5.321043454478106e-002	5.711968e-002	-3.624529e+000	2.689313e-003
